Date,Sl._No.,Taluk_Name,Today_Positive,Total_Positive,Today_Discharge,Total_Discharge,Total_Active_Cases,Today_Deaths,Total_Deaths,Population
12-06-2021,5,Shirahatti,0.04,18.32,0.12,17.33,0.81,0.5,0.18,200669
13-06-2021,5,Shirahatti,0.15,18.48,0.23,17.57,0.73,0.5,0.18,200669
14-06-2021,5,Shirahatti,0.02,18.5,0.13,17.7,0.62,0,0.18,200669
15-06-2021,5,Shirahatti,0.02,18.53,0.08,17.78,0.56,0,0.18,200669
16-06-2021,5,Shirahatti,0.04,18.57,0.07,17.85,0.53,0.5,0.19,200669
17-06-2021,5,Shirahatti,0.05,18.62,0.08,17.93,0.5,0,0.19,200669
18-06-2021,5,Shirahatti,0.01,18.63,0.04,17.97,0.47,0,0.19,200669
19-06-2021,5,Shirahatti,0.02,18.65,0.04,18.01,0.44,0.5,0.19,200669
20-06-2021,5,Shirahatti,0.04,18.7,0.1,18.11,0.39,0,0.19,200669
21-06-2021,5,Shirahatti,0.01,18.71,0.1,18.21,0.29,0.5,0.2,200669
22-06-2021,5,Shirahatti,0.04,18.75,0.03,18.24,0.3,0,0.2,200669
23-06-2021,5,Shirahatti,0.01,18.76,0.03,18.28,0.28,0,0.2,200669
24-06-2021,5,Shirahatti,0.02,18.78,0.03,18.31,0.27,0,0.2,200669
25-06-2021,5,Shirahatti,0.01,18.79,0.02,18.34,0.25,0,0.2,200669
26-06-2021,5,Shirahatti,0.03,18.82,0.03,18.37,0.25,0,0.2,200669
27-06-2021,5,Shirahatti,0.03,18.86,0.02,18.39,0.26,0,0.2,200669
28-06-2021,5,Shirahatti,0,18.86,0.04,18.43,0.23,0,0.2,200669
29-06-2021,5,Shirahatti,0.03,18.89,0.02,18.46,0.23,0,0.2,200669
30-06-2021,5,Shirahatti,0.02,18.91,0.01,18.47,0.24,0,0.2,200669
01-07-2021,5,Shirahatti,0,18.92,0.03,18.5,0.21,0,0.2,200669
