Date,Sl.No.,Taluk_Name,Today_Positive,Total_Positive,Today_Discharge,Total_Discharge,Total_Active_Cases,Today_Death,Total_Death
09-05-2021,1,Gadag,199,7150,141,6290,770,1,90
09-05-2021,2,Mundargi,46,1678,15,1551,119,0,8
09-05-2021,3,Naragunda,15,1146,8,1082,59,0,5
09-05-2021,4,Ron,28,2061,9,1897,146,0,18
09-05-2021,5,Shirahatti,32,1820,4,1723,78,0,19
09-05-2021,6,Total,320,13855,177,12543,1172,1,140
10-05-2021,1,Gadag,142,7470,134,6552,823,2,95
10-05-2021,2,Mundargi,58,1766,13,1551,177,0,8
10-05-2021,3,Naragunda,24,1207,8,1110,92,0,5
10-05-2021,4,Ron,111,2270,14,1936,253,0,18
10-05-2021,5,Shirahatti,32,1930,36,1776,135,0,19
10-05-2021,6,Total,367,14643,205,12925,1480,2,145
11-05-2021,1,Gadag,237,7707,107,6659,951,2,97
11-05-2021,2,Mundargi,54,1820,16,1597,215,0,8
11-05-2021,3,Naragunda,25,1232,18,1128,99,0,5
